trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.5, 'e': 0.7385691026454038}",25,0,-42.37880925029516,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-177.1014128181949,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",25,0,-118.39436139271272,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570328}",20,0,-139.83901435842532,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",30,5,-110.25457249225832,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,0,-134.35532508577734,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",30,0,-81.98299829666747,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,8,-45.49762043882754,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.6283472821521207}",20,0,-118.6396067127869,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",35,0,-65.06134590404659,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6034647297788966}",30,11,-2.1234646322670576,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.5913954351833187}",25,0,-21.018203331249058,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",20,0,-85.89584551773558,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",30,12,-38.399241677505664,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,4,-47.65788171099446,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",25,15,-8.499636969120726,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",20,0,-74.18190349316949,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",30,14,-27.584787937003604,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,0,-36.990677046412294,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",25,0,-28.741450269399376,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.493074620618078}",35,13,-71.22851701966708,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",20,8,3.4655008666345664,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",30,10,-0.2639185397172512,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",30,0,-103.36409292864599,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.4547963305621946}",20,0,-9.178311562961765,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",20,0,-26.328972643391598,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
